intimidated,distressed,scared,frightened,afraid,alarmed,horrified,terrified
scared, afraid,intimidated,frightened,alarmed,distressed,terrified,horrified
intimidated,scared,afraid,frightened,distressed,alarmed,terrified,horrified
intimidated,scared,afraid,frightened,distressed,alarmed,terrified,horrified
distressed,scared,intimidated,afraid,alarmed,frightened,horrified,terrified
distressed,intimidated,alarmed,scared,afraid,frightened,horrified,terrified
distressed,horrified,scared,terrified,frightened,scared,afraid,intimidated
alarmed,afraid,scared,intimidated,distressed,frightened ,horrified,terrified
alarmed,afraid,scared,intimidated,distressed,frightened,horrified,terrified
alarmed,scared,afraid,intimidated,frightened,horrified,distressed,terrified
alarmed,frightened,distressed,afraid,scared,horrified,intimidated,terrified
distressed,intimidated,afraid,scared,frightened,alarmed,terrified,horrified
alarmed,intimidated,afraid,scared,distressed,frightened,horrified,terrified
scared,alarmed,afraid,intimidated,frightened,distressed,horrified,terrified
intimidated,alarmed,distressed,afraid,scared,frightened,terrified,horrified
afraid,scared,alarmed,frightened,distressed,intimidated,terrified,horrified
alarmed,scared,afraid,frightened,intimidated,terrified,distressed,horrified
alarmed,scared,afraid,distressed,terrified,frightened,horrified,intimidated